类型代码,名称,长度(字节),描述
0x01,VERSION,2,协议版本
0x02,DEVICE_ID,16,设备标识符
0x03,KEY_ID,16,钥匙标识符
0x04,TOKEN,32,认证令牌
0x05,PUBLIC_KEY,65,EC P-256公钥
0x06,SIGNATURE,64,ECDSA签名
0x07,CERTIFICATE,变长,X.509证书
0x08,CHALLENGE,16,挑战随机数
0x09,RESPONSE,32,响应值
0x0A,SESSION_ID,4,会话标识符
0x0B,MAC,16,AES-CMAC值
0x0C,TIMESTAMP,4,Unix时间戳
0x0D,NONCE,8,随机数
0x0E,PAYLOAD,变长,负载数据
0x0F,ERROR_CODE,1,错误码
0x10,KEY_ROLE,1,钥匙角色
0x11,PERMISSIONS,4,权限位图
0x12,VALID_FROM,4,有效起始时间
0x13,VALID_UNTIL,4,有效截止时间
0x14,BT_ADDR,6,蓝牙地址
0x15,BLE_ADV_DATA,变长,广播数据
0x16,OTA_INFO,变长,OTA信息
0x17,VEHICLE_STATUS,16,车辆状态
0x18,CONTROL_RESULT,1,控制结果
