命令代码,命令名称,命令类别,描述
0x00,GET_VERSION,系统,获取版本信息
0x01,GET_DEVICE_INFO,系统,获取设备信息
0x02,PING,系统,心跳检测
0x03,RESET,系统,重置连接
0x04,GET_STATUS,系统,获取状态
0x10,PAIRING_START,配对,开始配对
0x11,PAIRING_EXCHANGE_KEY,配对,交换密钥
0x12,PAIRING_AUTH,配对,配对认证
0x13,PAIRING_CONFIRM,配对,确认配对
0x14,PAIRING_COMPLETE,配对,完成配对
0x15,PAIRING_CANCEL,配对,取消配对
0x20,SESSION_CREATE,会话,创建会话
0x21,SESSION_AUTH,会话,会话认证
0x22,SESSION_RENEW,会话,更新会话
0x23,SESSION_CLOSE,会话,关闭会话
0x30,KEY_REGISTER,钥匙管理,注册钥匙
0x31,KEY_ACTIVATE,钥匙管理,激活钥匙
0x32,KEY_SUSPEND,钥匙管理,暂停钥匙
0x33,KEY_RESUME,钥匙管理,恢复钥匙
0x34,KEY_DELETE,钥匙管理,删除钥匙
0x35,KEY_LIST,钥匙管理,列表钥匙
0x36,KEY_INFO,钥匙管理,获取钥匙信息
0x37,KEY_SHARE,钥匙管理,分享钥匙
0x38,KEY_TRANSFER,钥匙管理,转让钥匙
0x40,VEHICLE_UNLOCK,车辆控制,解锁车辆
0x41,VEHICLE_LOCK,车辆控制,上锁车辆
0x42,ENGINE_START,车辆控制,启动发动机
0x43,ENGINE_STOP,车辆控制,关闭发动机
0x44,TRUNK_OPEN,车辆控制,开启后备箱
0x45,TRUNK_CLOSE,车辆控制,关闭后备箱
0x46,WINDOWS_UP,车辆控制,升起车窗
0x47,WINDOWS_DOWN,车辆控制,降下车窗
0x48,CLIMATE_ON,车辆控制,开启空调
0x49,CLIMATE_OFF,车辆控制,关闭空调
0x4A,HORN,车辆控制,按下喇叭
0x4B,LIGHTS,车辆控制,闪灯
0x4C,CHARGE_PORT_OPEN,车辆控制,开启充电口
0x4D,CHARGE_PORT_CLOSE,车辆控制,关闭充电口
