错误代码,错误名称,描述
0x00,OK,成功
0x01,ERR_UNSUPPORTED_CMD,不支持的命令
0x02,ERR_INVALID_PARAM,无效参数
0x03,ERR_INVALID_LENGTH,长度错误
0x04,ERR_AUTH_FAILED,认证失败
0x05,ERR_KEY_NOT_FOUND,钥匙不存在
0x06,ERR_KEY_REVOKED,钥匙已撤销
0x07,ERR_KEY_EXPIRED,钥匙已过期
0x08,ERR_SESSION_INVALID,会话无效
0x09,ERR_BUSY,设备忙
0x0A,ERR_TIMEOUT,超时
0x0B,ERR_MEMORY,内存不足
0x0C,ERR_CRYPTO,加密错误
0x0D,ERR_TRANSPORT,传输错误
0x0F,ERR_INTERNAL,内部错误
0x10,ERR_PAIRING_CANCELLED,配对已取消
0x11,ERR_PAIRING_TIMEOUT,配对超时
0x12,ERR_VERSION_MISMATCH,版本不匹配
0x13,ERR_SE_UNAVAILABLE,SE不可用
0x14,ERR_PERMISSION_DENIED,权限不足
0x15,ERR_GEO_FENCE,地理围栏限制
0x16,ERR_SPEED_LIMIT,速度限制
